id,city_name,population,rank,state,state_abbr
81,Norfolk,246139,81,Virginia,VA
82,Durham,245475,82,North Carolina,NC
83,Madison,243344,83,Wisconsin,WI
84,Lubbock,239538,84,Texas,TX
85,Irvine,236716,85,California,CA
86,Winston-Salem,236441,86,North Carolina,NC
87,Glendale,234632,87,Arizona,AZ
88,Garland,234566,88,Texas,TX
89,Hialeah,233394,89,Florida,FL
90,Reno,233294,90,Nevada,NV
91,Chesapeake,230571,91,Virginia,VA
92,Gilbert,229972,92,Arizona,AZ
93,Baton Rouge,229426,93,Louisiana,LA
94,Irving,228653,94,Texas,TX
95,Scottsdale,226918,95,Arizona,AZ
96,North Las Vegas,226877,96,Nevada,NV
97,Fremont,224922,97,California,CA
98,Boise City,214237,98,Idaho,ID
99,Richmond,214114,99,Virginia,VA
100,San Bernardino,213708,100,California,CA
101,Birmingham,212113,101,Alabama,AL
102,Spokane,210721,102,Washington,WA
103,Rochester,210358,103,New York,NY
104,Des Moines,207510,104,Iowa,IA
105,Modesto,204933,105,California,CA
106,Fayetteville,204408,106,North Carolina,NC
107,Tacoma,203446,107,Washington,WA
108,Oxnard,203007,108,California,CA
109,Fontana,203003,109,California,CA
110,Columbus,202824,110,Georgia,GA
111,Montgomery,201332,111,Alabama,AL
112,Moreno Valley,201175,112,California,CA
113,Shreveport,200327,113,Louisiana,LA
114,Aurora,199963,114,Illinois,IL
115,Yonkers,199766,115,New York,NY
116,Akron,198100,116,Ohio,OH
117,Huntington Beach,197575,117,California,CA
118,Little Rock,197357,118,Arkansas,AR
119,Augusta-Richmond County,197350,119,Georgia,GA
120,Amarillo,196429,120,Texas,TX
121,Glendale,196021,121,California,CA
122,Mobile,194899,122,Alabama,AL
123,Grand Rapids,192294,123,Michigan,MI
124,Salt Lake City,191180,124,Utah,UT
125,Tallahassee,186411,125,Florida,FL
126,Huntsville,186254,126,Alabama,AL
127,Grand Prairie,183372,127,Texas,TX
128,Knoxville,183270,128,Tennessee,TN
129,Worcester,182544,129,Massachusetts,MA
130,Newport News,182020,130,Virginia,VA
131,Brownsville,181860,131,Texas,TX
132,Overland Park,181260,132,Kansas,KS
133,Santa Clarita,179590,133,California,CA
134,Providence,177994,134,Rhode Island,RI
135,Garden Grove,175140,135,California,CA
136,Chattanooga,173366,136,Tennessee,TN
137,Oceanside,172794,137,California,CA
138,Jackson,172638,138,Mississippi,MS
139,Fort Lauderdale,172389,139,Florida,FL
140,Santa Rosa,171990,140,California,CA
141,Rancho Cucamonga,171386,141,California,CA
142,Port St. Lucie,171016,142,Florida,FL
143,Tempe,168228,143,Arizona,AZ
144,Ontario,167500,144,California,CA
145,Vancouver,167405,145,Washington,WA
146,Cape Coral,165831,146,Florida,FL
147,Sioux Falls,164676,147,South Dakota,SD
148,Springfield,164122,148,Missouri,MO
149,Peoria,162592,149,Arizona,AZ
150,Pembroke Pines,162329,150,Florida,FL
151,Elk Grove,161007,151,California,CA
152,Salem,160614,152,Oregon,OR
153,Lancaster,159523,153,California,CA
154,Corona,159503,154,California,CA
155,Eugene,159190,155,Oregon,OR
156,Palmdale,157161,156,California,CA
157,Salinas,155662,157,California,CA
158,Springfield,153703,158,Massachusetts,MA
159,Pasadena,152735,159,Texas,TX
160,Fort Collins,152061,160,Colorado,CO
161,Hayward,151574,161,California,CA
162,Pomona,151348,162,California,CA
163,Cary,151088,163,North Carolina,NC
164,Rockford,150251,164,Illinois,IL
165,Alexandria,148892,165,Virginia,VA
166,Escondido,148738,166,California,CA
167,McKinney,148559,167,Texas,TX
168,Kansas City,148483,168,Kansas,KS
169,Joliet,147806,169,Illinois,IL
170,Sunnyvale,147559,170,California,CA
171,Torrance,147478,171,California,CA
172,Bridgeport,147216,172,Connecticut,CT
173,Lakewood,147214,173,Colorado,CO
174,Hollywood,146526,174,Florida,FL
175,Paterson,145948,175,New Jersey,NJ
176,Naperville,144864,176,Illinois,IL
177,Syracuse,144669,177,New York,NY
178,Mesquite,143484,178,Texas,TX
179,Dayton,143355,179,Ohio,OH
180,Savannah,142772,180,Georgia,GA
181,Clarksville,142357,181,Tennessee,TN
182,Orange,139969,182,California,CA
183,Pasadena,139731,183,California,CA
184,Fullerton,138981,184,California,CA
185,Killeen,137147,185,Texas,TX
186,Frisco,136791,186,Texas,TX
187,Hampton,136699,187,Virginia,VA
188,McAllen,136639,188,Texas,TX
189,Warren,134873,189,Michigan,MI
190,Bellevue,133992,190,Washington,WA
191,West Valley City,133579,191,Utah,UT
192,Columbia,133358,192,South Carolina,SC
193,Olathe,131885,193,Kansas,KS
194,Sterling Heights,131224,194,Michigan,MI
195,New Haven,130660,195,Connecticut,CT
196,Miramar,130288,196,Florida,FL
197,Waco,129030,197,Texas,TX
198,Thousand Oaks,128731,198,California,CA
199,Cedar Rapids,128429,199,Iowa,IA
200,Charleston,127999,200,South Carolina,SC
201,Visalia,127763,201,California,CA
202,Topeka,127679,202,Kansas,KS
203,Elizabeth,127558,203,New Jersey,NJ
204,Gainesville,127488,204,Florida,FL
205,Thornton,127359,205,Colorado,CO
206,Roseville,127035,206,California,CA
207,Carrollton,126700,207,Texas,TX
208,Coral Springs,126604,208,Florida,FL
209,Stamford,126456,209,Connecticut,CT
210,Simi Valley,126181,210,California,CA
211,Concord,125880,211,California,CA
212,Hartford,125017,212,Connecticut,CT
213,Kent,124435,213,Washington,WA
214,Lafayette,124276,214,Louisiana,LA
215,Midland,123933,215,Texas,TX
216,Surprise,123546,216,Arizona,AZ
217,Denton,123099,217,Texas,TX
218,Victorville,121096,218,California,CA
219,Evansville,120310,219,Indiana,IN
220,Santa Clara,120245,220,California,CA
221,Abilene,120099,221,Texas,TX
222,Athens-Clarke County,119980,222,Georgia,GA
223,Vallejo,118837,223,California,CA
224,Allentown,118577,224,Pennsylvania,PA
225,Norman,118197,225,Oklahoma,OK
226,Beaumont,117796,226,Texas,TX
227,Independence,117240,227,Missouri,MO
228,Murfreesboro,117044,228,Tennessee,TN
229,Ann Arbor,117025,229,Michigan,MI
230,Springfield,117006,230,Illinois,IL
231,Berkeley,116768,231,California,CA
232,Peoria,116513,232,Illinois,IL
233,Provo,116288,233,Utah,UT
234,El Monte,115708,234,California,CA
235,Columbia,115276,235,Missouri,MO
236,Lansing,113972,236,Michigan,MI
237,Fargo,113658,237,North Dakota,ND
238,Downey,113242,238,California,CA
239,Costa Mesa,112174,239,California,CA
240,Wilmington,112067,240,North Carolina,NC
241,Arvada,111707,241,Colorado,CO
242,Inglewood,111542,242,California,CA
243,Miami Gardens,111378,243,Florida,FL
244,Carlsbad,110972,244,California,CA
245,Westminster,110945,245,Colorado,CO
246,Rochester,110742,246,Minnesota,MN
247,Odessa,110720,247,Texas,TX
248,Manchester,110378,248,New Hampshire,NH
249,Elgin,110145,249,Illinois,IL
250,West Jordan,110077,250,Utah,UT
251,Round Rock,109821,251,Texas,TX
252,Clearwater,109703,252,Florida,FL
253,Waterbury,109676,253,Connecticut,CT
254,Gresham,109397,254,Oregon,OR
255,Fairfield,109320,255,California,CA
